id,sbi
20231021_500101028_00:00,2.2471120953559875
20231021_500101028_00:20,2.180856764316559
20231021_500101028_00:40,2.113051414489746
20231021_500101028_01:00,2.043631672859192
20231021_500101028_01:20,1.979665458202362
20231021_500101028_01:40,1.9176071882247925
20231021_500101028_02:00,1.8563181161880493
20231021_500101028_02:20,1.7928975820541382
20231021_500101028_02:40,1.7302054166793823
20231021_500101028_03:00,1.6679319739341736
20231021_500101028_03:20,1.597784161567688
20231021_500101028_03:40,1.5272539854049683
20231021_500101028_04:00,1.4616617560386658
20231021_500101028_04:20,1.3932028412818909
20231021_500101028_04:40,1.3286694884300232
20231021_500101028_05:00,1.2692789733409882
20231021_500101028_05:20,1.2314023077487946
20231021_500101028_05:40,1.263447105884552
20231021_500101028_06:00,1.3671967387199402
20231021_500101028_06:20,1.5356379747390747
20231021_500101028_06:40,1.8061156570911407
20231021_500101028_07:00,2.134498804807663
20231021_500101028_07:20,2.4013592302799225
20231021_500101028_07:40,2.5672978162765503
20231021_500101028_08:00,2.7115488052368164
20231021_500101028_08:20,2.790946066379547
20231021_500101028_08:40,2.8149008750915527
20231021_500101028_09:00,2.805330455303192
20231021_500101028_09:20,2.7730360627174377
20231021_500101028_09:40,2.743936777114868
20231021_500101028_10:00,2.715945243835449
20231021_500101028_10:20,2.6901307702064514
20231021_500101028_10:40,2.6660004258155823
20231021_500101028_11:00,2.6452603936195374
20231021_500101028_11:20,2.6270532608032227
20231021_500101028_11:40,2.6116088032722473
20231021_500101028_12:00,2.5978147983551025
20231021_500101028_12:20,2.5867336988449097
20231021_500101028_12:40,2.577032744884491
20231021_500101028_13:00,2.5686919689178467
20231021_500101028_13:20,2.56117582321167
20231021_500101028_13:40,2.5533899664878845
20231021_500101028_14:00,2.544722259044647
20231021_500101028_14:20,2.5335663557052612
20231021_500101028_14:40,2.5186601281166077
20231021_500101028_15:00,2.4998772144317627
20231021_500101028_15:20,2.4634742736816406
20231021_500101028_15:40,2.4053512513637543
20231021_500101028_16:00,2.3208212852478027
20231021_500101028_16:20,2.1959783136844635
20231021_500101028_16:40,2.0204652845859528
20231021_500101028_17:00,1.741688847541809
20231021_500101028_17:20,1.3684889674186707
20231021_500101028_17:40,1.0831911861896515
20231021_500101028_18:00,1.0059131681919098
20231021_500101028_18:20,0.9861282259225845
20231021_500101028_18:40,0.9876538813114166
20231021_500101028_19:00,0.9890681505203247
20231021_500101028_19:20,0.9891413897275925
20231021_500101028_19:40,0.9892554581165314
20231021_500101028_20:00,0.9895629435777664
20231021_500101028_20:20,0.9899499267339706
20231021_500101028_20:40,0.9903943538665771
20231021_500101028_21:00,0.9967774152755737
20231021_500101028_21:20,1.0479798167943954
20231021_500101028_21:40,1.2176134437322617
20231021_500101028_22:00,1.4258165657520294
20231021_500101028_22:20,1.6571363806724548
20231021_500101028_22:40,1.9021311402320862
20231021_500101028_23:00,2.1505936980247498
20231021_500101028_23:20,2.383154183626175
20231021_500101028_23:40,2.5893139839172363
20231022_500101028_00:00,2.800203859806061
20231022_500101028_00:20,2.7316635847091675
20231022_500101028_00:40,2.661696970462799
20231022_500101028_01:00,2.5906160473823547
20231022_500101028_01:20,2.519077956676483
20231022_500101028_01:40,2.448769211769104
20231022_500101028_02:00,2.380729168653488
20231022_500101028_02:20,2.3138028383255005
20231022_500101028_02:40,2.245791256427765
20231022_500101028_03:00,2.1797096729278564
20231022_500101028_03:20,2.1198171377182007
20231022_500101028_03:40,2.068018615245819
20231022_500101028_04:00,2.0228977501392365
20231022_500101028_04:20,1.9844785332679749
20231022_500101028_04:40,1.9563767313957214
20231022_500101028_05:00,1.9371485710144043
20231022_500101028_05:20,1.9325710833072662
20231022_500101028_05:40,1.952030062675476
20231022_500101028_06:00,2.0048078894615173
20231022_500101028_06:20,2.1336810290813446
20231022_500101028_06:40,2.304236739873886
20231022_500101028_07:00,2.542242407798767
20231022_500101028_07:20,2.8277787566184998
20231022_500101028_07:40,3.1022754311561584
20231022_500101028_08:00,3.2964837551116943
20231022_500101028_08:20,3.4282347559928894
20231022_500101028_08:40,3.5231873393058777
20231022_500101028_09:00,3.568822741508484
20231022_500101028_09:20,3.5533860325813293
20231022_500101028_09:40,3.5200193524360657
20231022_500101028_10:00,3.457120954990387
20231022_500101028_10:20,3.3721423149108887
20231022_500101028_10:40,3.282153010368347
20231022_500101028_11:00,3.1890055537223816
20231022_500101028_11:20,3.079155683517456
20231022_500101028_11:40,2.940003275871277
20231022_500101028_12:00,2.769712507724762
20231022_500101028_12:20,2.5883394479751587
20231022_500101028_12:40,2.424132227897644
20231022_500101028_13:00,2.263040393590927
20231022_500101028_13:20,2.1015694737434387
