id,sbi
20231021_500101015_00:00,1.983509600162506
20231021_500101015_00:20,2.0105074644088745
20231021_500101015_00:40,2.0363053679466248
20231021_500101015_01:00,2.0625242590904236
20231021_500101015_01:20,2.08880552649498
20231021_500101015_01:40,2.114710032939911
20231021_500101015_02:00,2.139253944158554
20231021_500101015_02:20,2.1628855764865875
20231021_500101015_02:40,2.186418116092682
20231021_500101015_03:00,2.202850818634033
20231021_500101015_03:20,2.207439959049225
20231021_500101015_03:40,2.209069460630417
20231021_500101015_04:00,2.2079120576381683
20231021_500101015_04:20,2.2054011523723602
20231021_500101015_04:40,2.2019066214561462
20231021_500101015_05:00,2.1975684463977814
20231021_500101015_05:20,2.1937042474746704
20231021_500101015_05:40,2.18960702419281
20231021_500101015_06:00,2.1822802126407623
20231021_500101015_06:20,2.1735915541648865
20231021_500101015_06:40,2.162917912006378
20231021_500101015_07:00,2.1510924994945526
20231021_500101015_07:20,2.1371692419052124
20231021_500101015_07:40,2.120997726917267
20231021_500101015_08:00,2.1047655045986176
20231021_500101015_08:20,2.0847126841545105
20231021_500101015_08:40,2.0614329874515533
20231021_500101015_09:00,2.0337448120117188
20231021_500101015_09:20,2.0040470361709595
20231021_500101015_09:40,1.970946729183197
20231021_500101015_10:00,1.9311076998710632
20231021_500101015_10:20,1.889995276927948
20231021_500101015_10:40,1.8447151184082031
20231021_500101015_11:00,1.793144553899765
20231021_500101015_11:20,1.7272389233112335
20231021_500101015_11:40,1.6524401903152466
20231021_500101015_12:00,1.5743996649980545
20231021_500101015_12:20,1.4943684190511703
20231021_500101015_12:40,1.4085515141487122
20231021_500101015_13:00,1.3215679228305817
20231021_500101015_13:20,1.2381804585456848
20231021_500101015_13:40,1.1581572443246841
20231021_500101015_14:00,1.0870424658060074
20231021_500101015_14:20,1.022081971168518
20231021_500101015_14:40,0.9714888781309128
20231021_500101015_15:00,0.9365826845169067
20231021_500101015_15:20,0.9119100570678711
20231021_500101015_15:40,0.8947980999946594
20231021_500101015_16:00,0.8807183802127838
20231021_500101015_16:20,0.8707466274499893
20231021_500101015_16:40,0.8668897300958633
20231021_500101015_17:00,0.867815725505352
20231021_500101015_17:20,0.8704276010394096
20231021_500101015_17:40,0.8742319792509079
20231021_500101015_18:00,0.8789047747850418
20231021_500101015_18:20,0.884711816906929
20231021_500101015_18:40,0.8943921327590942
20231021_500101015_19:00,0.9071432799100876
20231021_500101015_19:20,0.9232003688812256
20231021_500101015_19:40,0.9437640905380249
20231021_500101015_20:00,0.9668230712413788
20231021_500101015_20:20,0.9924547076225281
20231021_500101015_20:40,1.0201405882835388
20231021_500101015_21:00,1.0510673224925995
20231021_500101015_21:20,1.0855527371168137
20231021_500101015_21:40,1.122570961713791
20231021_500101015_22:00,1.1605220139026642
20231021_500101015_22:20,1.2006034553050995
20231021_500101015_22:40,1.2441269606351852
20231021_500101015_23:00,1.2898768186569214
20231021_500101015_23:20,1.338890165090561
20231021_500101015_23:40,1.3921556323766708
20231022_500101015_00:00,1.1697362810373306
20231022_500101015_00:20,1.1470943242311478
20231022_500101015_00:40,1.124070182442665
20231022_500101015_01:00,1.1009928435087204
20231022_500101015_01:20,1.0783901065587997
20231022_500101015_01:40,1.0557128936052322
20231022_500101015_02:00,1.030835509300232
20231022_500101015_02:20,1.004767969250679
20231022_500101015_02:40,0.978934183716774
20231022_500101015_03:00,0.9534419029951096
20231022_500101015_03:20,0.9300085604190826
20231022_500101015_03:40,0.9094131290912628
20231022_500101015_04:00,0.8934680670499802
20231022_500101015_04:20,0.8874804675579071
20231022_500101015_04:40,0.8942899107933044
20231022_500101015_05:00,0.9261593818664551
20231022_500101015_05:20,1.0171997249126434
20231022_500101015_05:40,1.185086578130722
20231022_500101015_06:00,1.458859533071518
20231022_500101015_06:20,1.8882931768894196
20231022_500101015_06:40,2.4612587690353394
20231022_500101015_07:00,3.140914887189865
20231022_500101015_07:20,3.852325737476349
20231022_500101015_07:40,4.54427832365036
20231022_500101015_08:00,5.1841148138046265
20231022_500101015_08:20,5.767929911613464
20231022_500101015_08:40,6.2843106389045715
20231022_500101015_09:00,6.702806532382965
20231022_500101015_09:20,7.026782989501953
20231022_500101015_09:40,7.305808067321777
20231022_500101015_10:00,7.539266347885132
20231022_500101015_10:20,7.73487913608551
20231022_500101015_10:40,7.886097550392151
20231022_500101015_11:00,7.97848117351532
20231022_500101015_11:20,8.039261937141418
20231022_500101015_11:40,8.072423577308655
20231022_500101015_12:00,8.068313002586365
20231022_500101015_12:20,8.031412124633789
20231022_500101015_12:40,7.942474842071533
20231022_500101015_13:00,7.824344635009766
20231022_500101015_13:20,7.682708382606506
20231022_500101015_13:40,7.509919881820679
20231022_500101015_14:00,7.318910837173462
20231022_500101015_14:20,7.111017227172852
20231022_500101015_14:40,6.882708013057709
20231022_500101015_15:00,6.652277588844299
20231022_500101015_15:20,6.429694473743439
20231022_500101015_15:40,6.21990704536438
20231022_500101015_16:00,6.038424253463745
20231022_500101015_16:20,5.899213790893555
20231022_500101015_16:40,5.818451762199402
20231022_500101015_17:00,5.8191986083984375
20231022_500101015_17:20,5.895552575588226
20231022_500101015_17:40,6.012344717979431
20231022_500101015_18:00,6.171984553337097
20231022_500101015_18:20,6.361158192157745
20231022_500101015_18:40,6.577593803405762
20231022_500101015_19:00,6.802948176860809
20231022_500101015_19:20,7.027952075004578
20231022_500101015_19:40,7.253724932670593
20231022_500101015_20:00,7.481292724609375
20231022_500101015_20:20,7.7100629806518555
20231022_500101015_20:40,7.941932439804077
20231022_500101015_21:00,8.175896406173706
